observed_on,latitude,longitude,place_county_name,place_state_name,url,image_url,description
09/02/2021,-223.482.605.439,-431.858.434.748,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/82057875,https://inaturalist-open-data.s3.amazonaws.com/photos/134644002/medium.jpeg,
09/02/2021,-227.537.535.256,-44.780.926.104,São José do Barreiro,São Paulo,https://www.inaturalist.org/observations/215057194,https://inaturalist-open-data.s3.amazonaws.com/photos/380173282/medium.jpg,Filhote
14/02/2021,-231.657.402.803,-449.746.730.338,Cunha,São Paulo,https://www.inaturalist.org/observations/123125691,https://inaturalist-open-data.s3.amazonaws.com/photos/208544606/medium.png,Grupo observado na beira da estrada. Vários indivíduos estavam se alimentando de goma em uma Anadenanthera peregrina. No grupo havia pelo menos um indivíduo carregando um filhote. Imagens são capturas de arquivo de vídeo.
27/02/2021,-232.475.896.407,-470.695.631.027,Cabreúva,São Paulo,https://www.inaturalist.org/observations/242289486,https://static.inaturalist.org/photos/431937678/medium.jpg,
27/02/2021,-232.808.946.036,-471.954.587.542,Cabreúva,São Paulo,https://www.inaturalist.org/observations/242289492,https://static.inaturalist.org/photos/431937681/medium.jpg,
27/02/2021,-233.075.419.365,-470.902.458.747,Cabreúva,São Paulo,https://www.inaturalist.org/observations/242289493,https://static.inaturalist.org/photos/431937682/medium.jpg,
22/03/2021,-231.128.948.652,-452.334.914.582,Taubaté,São Paulo,https://www.inaturalist.org/observations/72173513,https://inaturalist-open-data.s3.amazonaws.com/photos/117627605/medium.jpeg,
27/03/2021,-211.166.867.496,-419.354.458.396,Natividade,Rio de Janeiro,https://www.inaturalist.org/observations/229861077,https://static.inaturalist.org/photos/408070882/medium.jpg,
05/04/2021,-227.372.831.275,-44.669.107.521,São José do Barreiro,São Paulo,https://www.inaturalist.org/observations/215063642,https://inaturalist-open-data.s3.amazonaws.com/photos/380184265/medium.jpeg,
05/04/2021,-227.001.220.536,-446.697.747.518,São José do Barreiro,São Paulo,https://www.inaturalist.org/observations/215063650,https://inaturalist-open-data.s3.amazonaws.com/photos/380184878/medium.jpeg,
06/04/2021,-227.144.098.059,-446.068.522.436,São José do Barreiro,São Paulo,https://www.inaturalist.org/observations/215057205,https://inaturalist-open-data.s3.amazonaws.com/photos/380173674/medium.jpg,
23/04/2021,-208.881.307.466,-421.519.378.554,Tombos,Minas Gerais,https://www.inaturalist.org/observations/214606252,https://inaturalist-open-data.s3.amazonaws.com/photos/379342288/medium.jpeg,
06/05/2021,-228.928.044.952,-463.057.661.751,Extrema,Minas Gerais,https://www.inaturalist.org/observations/79539443,https://inaturalist-open-data.s3.amazonaws.com/photos/130286734/medium.jpeg,
28/05/2021,-232.717.614.612,-468.478.168.117,Jundiaí,São Paulo,https://www.inaturalist.org/observations/264949714,https://static.inaturalist.org/photos/475821666/medium.jpg,
05/06/2021,-235.884.033.513,-467.863.149.537,São Paulo,São Paulo,https://www.inaturalist.org/observations/81815163,https://static.inaturalist.org/photos/134201789/medium.jpeg,
06/06/2021,-234.162.646.415,-460.089.685.368,Guaratinguetá,São Paulo,https://www.inaturalist.org/observations/81953841,https://static.inaturalist.org/photos/134461254/medium.jpeg,
21/07/2021,-223.356.954.746,-431.350.668.273,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/89829324,https://inaturalist-open-data.s3.amazonaws.com/photos/148382452/medium.jpeg,
03/08/2021,-232.668.341.965,-466.470.555.756,Franco da Rocha,São Paulo,https://www.inaturalist.org/observations/90550437,https://inaturalist-open-data.s3.amazonaws.com/photos/149665581/medium.jpeg,Aparentemente com fenótipo híbrido.
03/09/2021,-22.152.260.127,-459.709.989.882,Silvianópolis,Minas Gerais,https://www.inaturalist.org/observations/93659638,https://static.inaturalist.org/photos/155261938/medium.jpeg,
05/09/2021,-23.378.612.207,-467.673.065.418,Mairiporã,São Paulo,https://www.inaturalist.org/observations/93720673,https://static.inaturalist.org/photos/155371659/medium.jpeg,
19/09/2021,-223.489.597.258,-430.422.047.167,São José do Vale do Rio Preto,Rio de Janeiro,https://www.inaturalist.org/observations/95815011,https://inaturalist-open-data.s3.amazonaws.com/photos/159109099/medium.jpeg,
23/09/2021,-229.918.541.458,-478.828.540.811,Piracicaba,São Paulo,https://www.inaturalist.org/observations/98148181,https://inaturalist-open-data.s3.amazonaws.com/photos/163353396/medium.jpeg,"Vídeo
https://youtu.be/4LWtunkMKOc"
23/09/2021,-228.032.810.695,-478.878.956.128,Piracicaba,São Paulo,https://www.inaturalist.org/observations/98519343,https://inaturalist-open-data.s3.amazonaws.com/photos/164042720/medium.jpg,"Vídeo
https://youtu.be/4LWtunkMKOc"
12/10/2021,-228.395.169.517,-4.621.588.496,Extrema,Minas Gerais,https://www.inaturalist.org/observations/98045361,https://inaturalist-open-data.s3.amazonaws.com/photos/163160866/medium.jpg,Grupo de 10 indivíduos (sendo 2 infantes)
14/11/2021,-211.500.350.982,-421.447.416.728,Itaperuna,Rio de Janeiro,https://www.inaturalist.org/observations/247140332,https://inaturalist-open-data.s3.amazonaws.com/photos/441331695/medium.jpeg,
20/11/2021,-23.589.668.477,-458.286.532.578,Salesópolis,São Paulo,https://www.inaturalist.org/observations/102825594,https://static.inaturalist.org/photos/171968589/medium.jpg,
06/12/2021,-234.875.200.437,-458.385.658.133,Salesópolis,São Paulo,https://www.inaturalist.org/observations/102831915,https://inaturalist-open-data.s3.amazonaws.com/photos/171979985/medium.jpg,
23/01/2022,-232.442.407.553,-464.506.285.616,Guarulhos,São Paulo,https://www.inaturalist.org/observations/129733131,https://inaturalist-open-data.s3.amazonaws.com/photos/220509254/medium.jpg,
23/01/2022,-233.257.779.368,-465.830.115.636,Guarulhos,São Paulo,https://www.inaturalist.org/observations/129733133,https://inaturalist-open-data.s3.amazonaws.com/photos/220509280/medium.jpg,
28/01/2022,-233.520.971.579,-457.392.518.551,Paraibuna,São Paulo,https://www.inaturalist.org/observations/105765048,https://static.inaturalist.org/photos/177533847/medium.jpeg,Grupos com cerca de 12 indivíduos
26/02/2022,-233.747.370.171,-467.136.715.971,Franco da Rocha,São Paulo,https://www.inaturalist.org/observations/120748857,https://static.inaturalist.org/photos/204261121/medium.jpeg,
06/03/2022,-23.518.985.339,-459.971.494.246,Salesópolis,São Paulo,https://www.inaturalist.org/observations/272309083,https://static.inaturalist.org/photos/489895712/medium.jpg,
10/03/2022,-231.366.525.739,-452.660.891.075,Taubaté,São Paulo,https://www.inaturalist.org/observations/108324770,https://inaturalist-open-data.s3.amazonaws.com/photos/182361138/medium.jpeg,"Grupo com, pelo menos, cinco indivíduos (4 adultos e 1 filhote)."
27/03/2022,-208.249.892.389,-420.002.075.217,Porciúncula,Rio de Janeiro,https://www.inaturalist.org/observations/123756574,https://inaturalist-open-data.s3.amazonaws.com/photos/209685131/medium.jpg,
